Date,Open,High,Low,Close,Adj Close,Volume
2017-07-10,1668.000000,1748.000000,1661.050049,1676.349976,1665.710938,327313
2017-07-11,1677.550049,1690.800049,1667.099976,1680.400024,1669.735229,1102570
2017-07-12,1680.000000,1685.000000,1658.550049,1681.250000,1670.579834,1434723
2017-07-13,1688.000000,1693.300049,1679.650024,1683.550049,1672.865234,1120251
2017-07-14,1683.900024,1686.050049,1672.000000,1679.949951,1669.287964,610813
2017-07-17,1682.550049,1687.650024,1677.000000,1682.349976,1671.672852,599835
2017-07-18,1679.699951,1687.849976,1677.349976,1683.550049,1672.865234,580547
2017-07-19,1685.000000,1696.199951,1681.849976,1692.300049,1681.559692,996811
2017-07-20,1693.900024,1715.000000,1688.150024,1710.900024,1700.041626,924619
2017-07-21,1714.099976,1715.250000,1700.000000,1703.050049,1692.241455,968377
2017-07-24,1710.000000,1740.000000,1695.000000,1735.099976,1724.088013,4919544
2017-07-25,1759.000000,1759.000000,1733.050049,1739.650024,1728.609131,2790117
2017-07-26,1742.000000,1755.000000,1732.500000,1747.550049,1736.459106,973836
2017-07-27,1756.000000,1798.800049,1751.550049,1789.650024,1778.291870,4490428
2017-07-28,1772.000000,1786.500000,1761.099976,1778.500000,1767.212646,2313849
2017-07-31,1777.550049,1791.000000,1766.550049,1784.400024,1773.075195,1842285
2017-08-01,1781.849976,1809.150024,1772.199951,1797.199951,1785.793823,2129215
2017-08-02,1807.000000,1807.000000,1782.050049,1791.650024,1780.279175,1849479
2017-08-03,1788.000000,1792.000000,1774.400024,1779.949951,1768.653320,1064196
2017-08-04,1777.000000,1796.750000,1766.150024,1790.250000,1778.888062,886267
2017-08-07,1786.000000,1796.449951,1785.000000,1788.550049,1777.198853,479665
2017-08-08,1792.099976,1797.250000,1766.099976,1777.900024,1766.616455,1008843
2017-08-09,1771.000000,1777.050049,1758.349976,1764.449951,1753.251709,817514
2017-08-10,1760.000000,1766.000000,1752.849976,1760.449951,1749.277100,1947111
2017-08-11,1745.000000,1758.000000,1731.150024,1749.050049,1737.949585,1589959
2017-08-14,1753.000000,1774.949951,1748.000000,1757.199951,1746.047729,894271
2017-08-16,1762.349976,1789.800049,1748.550049,1781.250000,1769.945190,1106708
2017-08-17,1776.250000,1780.949951,1753.750000,1765.400024,1754.195801,1363717
2017-08-18,1760.000000,1761.000000,1743.000000,1752.150024,1741.029907,926866
2017-08-21,1754.000000,1759.000000,1738.199951,1743.199951,1732.136597,1002431
2017-08-22,1751.300049,1754.000000,1736.800049,1747.000000,1735.912476,1652389
2017-08-23,1750.000000,1777.949951,1750.000000,1772.449951,1761.200928,840131
2017-08-24,1774.900024,1774.949951,1759.150024,1762.500000,1751.314087,1969569
2017-08-28,1762.400024,1771.150024,1758.349976,1762.250000,1751.065674,376946
2017-08-29,1759.000000,1759.000000,1738.000000,1746.150024,1735.067993,1229649
2017-08-30,1751.949951,1770.000000,1750.050049,1768.550049,1757.325806,673580
2017-08-31,1772.000000,1779.849976,1756.400024,1776.449951,1765.175537,1825859
2017-09-01,1781.000000,1781.449951,1761.099976,1767.599976,1756.381714,573793
2017-09-04,1765.000000,1765.000000,1746.099976,1750.900024,1739.787842,910631
2017-09-05,1757.000000,1764.900024,1751.000000,1755.349976,1744.209473,920609
2017-09-06,1743.750000,1762.800049,1738.000000,1759.900024,1748.730713,1437908
2017-09-07,1760.099976,1776.750000,1760.099976,1766.550049,1755.338501,1736605
2017-09-08,1773.400024,1790.000000,1771.000000,1787.650024,1776.304565,2077916
2017-09-11,1793.000000,1829.000000,1790.199951,1823.349976,1811.777954,2869419
2017-09-12,1827.699951,1839.900024,1818.300049,1835.199951,1823.552734,1671920
2017-09-13,1835.000000,1849.000000,1824.000000,1841.849976,1830.160522,1248844
2017-09-14,1840.150024,1852.500000,1831.500000,1839.400024,1827.726074,2038504
2017-09-15,1836.000000,1851.800049,1833.449951,1848.949951,1837.215454,941833
2017-09-18,1853.550049,1864.449951,1852.500000,1860.449951,1848.642456,1021232
2017-09-19,1864.900024,1868.000000,1847.550049,1849.699951,1837.960693,1060367
2017-09-20,1848.000000,1861.449951,1845.250000,1848.849976,1837.116089,861532
2017-09-21,1848.000000,1848.500000,1830.699951,1839.099976,1827.427979,1928124
2017-09-22,1834.800049,1838.949951,1820.000000,1824.099976,1812.523193,2060881
2017-09-25,1822.449951,1822.449951,1792.599976,1799.750000,1788.327759,2537307
2017-09-26,1789.050049,1796.599976,1785.000000,1792.300049,1780.925049,2859683
2017-09-27,1796.000000,1805.599976,1770.000000,1776.500000,1765.225342,1834305
2017-09-28,1774.000000,1799.000000,1763.300049,1795.300049,1783.906006,6911616
2017-09-29,1800.099976,1822.000000,1796.250000,1805.699951,1794.239868,1553408
2017-10-03,1808.000000,1821.000000,1797.099976,1808.849976,1797.369995,1098606
2017-10-04,1807.900024,1811.900024,1793.349976,1797.000000,1785.595215,1656276
2017-10-05,1795.000000,1805.000000,1793.099976,1798.599976,1787.185059,834049
2017-10-06,1798.000000,1804.449951,1794.000000,1800.099976,1788.675537,757665
2017-10-09,1798.800049,1803.000000,1790.500000,1795.500000,1784.104736,765623
2017-10-10,1799.000000,1814.949951,1792.650024,1802.699951,1791.258911,949545
2017-10-11,1803.250000,1815.250000,1787.599976,1790.150024,1778.788696,1316860
2017-10-12,1795.099976,1821.449951,1788.000000,1818.800049,1807.256836,1345390
2017-10-13,1826.699951,1856.550049,1822.000000,1850.800049,1839.053833,1608366
2017-10-16,1860.000000,1873.250000,1842.000000,1857.150024,1845.363525,818636
2017-10-17,1850.000000,1853.699951,1839.099976,1851.250000,1839.500854,653322
2017-10-18,1841.000000,1875.000000,1839.000000,1868.500000,1856.641357,981680
2017-10-19,1861.800049,1865.000000,1840.650024,1848.400024,1836.668945,142502
2017-10-23,1859.900024,1869.699951,1836.050049,1863.300049,1851.474487,1040723
2017-10-24,1863.000000,1879.599976,1853.000000,1867.099976,1855.250244,2832218
2017-10-25,1860.000000,1863.000000,1785.000000,1795.099976,1783.707275,5341802
2017-10-26,1768.000000,1810.000000,1757.849976,1795.349976,1783.955688,7142866
2017-10-27,1804.400024,1807.500000,1779.000000,1791.050049,1779.682983,1868022
2017-10-30,1798.250000,1816.000000,1792.400024,1815.000000,1803.480957,1355588
2017-10-31,1811.500000,1811.500000,1799.250000,1808.500000,1797.022217,1170615
2017-11-01,1815.099976,1825.000000,1812.000000,1821.199951,1809.641602,1047653
2017-11-02,1823.000000,1829.800049,1816.949951,1822.099976,1810.535889,1184486
2017-11-03,1825.699951,1840.000000,1821.599976,1830.699951,1819.081299,952622
2017-11-06,1825.000000,1840.000000,1822.599976,1828.599976,1816.994629,1537061
2017-11-07,1838.000000,1844.949951,1820.750000,1823.699951,1812.125732,1861594
2017-11-08,1825.199951,1833.599976,1819.000000,1825.949951,1814.361450,820786
2017-11-09,1827.000000,1835.000000,1821.099976,1827.849976,1816.249390,778327
2017-11-10,1821.699951,1834.800049,1812.349976,1822.000000,1810.436523,1936090
2017-11-13,1822.000000,1823.150024,1795.000000,1813.550049,1802.040161,833968
2017-11-14,1815.900024,1819.000000,1800.000000,1802.349976,1790.911255,1178117
2017-11-15,1798.000000,1803.650024,1788.000000,1800.250000,1788.824585,1537092
2017-11-16,1804.000000,1816.000000,1795.199951,1807.699951,1796.227173,1003243
2017-11-17,1828.699951,1838.300049,1813.150024,1825.550049,1813.963989,1589693
2017-11-20,1829.000000,1839.699951,1829.000000,1838.150024,1826.484009,598106
2017-11-21,1837.449951,1850.000000,1836.099976,1846.250000,1834.532593,568883
2017-11-22,1849.699951,1860.000000,1844.550049,1855.250000,1843.475464,1415199
2017-11-23,1859.000000,1860.000000,1838.000000,1842.849976,1831.154175,808145
2017-11-24,1843.000000,1857.800049,1841.000000,1851.400024,1839.649902,1300921
2017-11-27,1849.000000,1862.000000,1845.599976,1857.550049,1845.760986,967618
2017-11-28,1856.000000,1871.000000,1855.849976,1865.349976,1853.511353,1272635
2017-11-29,1865.000000,1875.500000,1855.800049,1873.300049,1861.411011,818646
2017-11-30,1868.699951,1873.949951,1840.000000,1853.699951,1841.935303,1449078
2017-12-01,1854.900024,1860.000000,1844.099976,1848.199951,1836.470215,964537
2017-12-04,1854.900024,1854.900024,1830.099976,1834.099976,1822.459717,910483
2017-12-05,1826.000000,1828.550049,1807.000000,1820.449951,1808.896362,973340
2017-12-06,1819.949951,1821.349976,1799.000000,1803.300049,1791.855225,1598780
2017-12-07,1806.650024,1816.599976,1803.099976,1809.650024,1798.164917,1057826
2017-12-08,1814.000000,1853.000000,1814.000000,1840.400024,1828.719727,2239100
2017-12-11,1848.000000,1851.750000,1840.000000,1846.400024,1834.681641,799558
2017-12-12,1849.099976,1849.900024,1815.949951,1819.900024,1808.349854,602647
2017-12-13,1820.050049,1845.000000,1815.099976,1821.349976,1809.790649,726865
2017-12-14,1824.000000,1840.000000,1812.000000,1838.050049,1826.384766,920773
2017-12-15,1856.000000,1888.000000,1855.500000,1873.449951,1861.559937,3112531
2017-12-18,1855.000000,1899.000000,1809.300049,1878.949951,1867.025024,3074497
2017-12-19,1879.800049,1893.650024,1876.150024,1884.500000,1872.539917,1238028
2017-12-20,1898.900024,1903.099976,1863.650024,1868.150024,1856.293701,2335876
2017-12-21,1879.900024,1885.000000,1865.199951,1868.300049,1856.442749,1713636
2017-12-22,1879.000000,1880.000000,1861.750000,1876.650024,1864.739746,1117726
2017-12-26,1881.000000,1882.800049,1856.699951,1868.349976,1856.492310,1696424
2017-12-27,1870.099976,1870.300049,1851.150024,1856.750000,1844.965942,872346
2017-12-28,1858.900024,1880.900024,1858.000000,1878.050049,1866.130859,2175130
2017-12-29,1876.800049,1879.199951,1868.150024,1872.400024,1860.516724,1586468
2018-01-01,1872.699951,1880.750000,1850.500000,1854.500000,1842.730225,1645129
2018-01-02,1858.550049,1875.000000,1858.550049,1872.349976,1860.466919,1194079
2018-01-03,1875.000000,1878.250000,1851.199951,1852.650024,1840.891968,1132822
2018-01-04,1853.000000,1865.500000,1853.000000,1859.900024,1848.096069,593444
2018-01-05,1863.000000,1868.050049,1855.550049,1863.599976,1851.772461,717717
2018-01-08,1865.000000,1870.699951,1857.750000,1860.599976,1848.791504,1142577
2018-01-09,1862.000000,1869.849976,1855.000000,1863.699951,1851.871826,1326382
2018-01-10,1865.199951,1867.900024,1857.300049,1864.199951,1852.368652,1153972
2018-01-11,1864.199951,1876.000000,1856.250000,1872.550049,1860.665771,1014774
2018-01-12,1873.000000,1878.150024,1860.000000,1865.300049,1853.461792,1084177
2018-01-15,1869.949951,1904.400024,1859.849976,1897.750000,1885.705811,3144111
2018-01-16,1903.449951,1910.000000,1885.250000,1900.150024,1888.090576,1611346
2018-01-17,1897.000000,1902.550049,1887.000000,1890.500000,1878.501831,726374
2018-01-18,1924.000000,1954.000000,1918.050049,1934.300049,1922.023804,4162385
2018-01-19,1935.150024,1959.900024,1919.250000,1952.199951,1939.810181,2863997
2018-01-22,1960.000000,1988.000000,1953.150024,1963.349976,1950.889404,2212442
2018-01-23,1965.000000,1966.699951,1943.300049,1951.300049,1938.916016,1261949
2018-01-24,1952.550049,1969.000000,1950.599976,1957.650024,1945.225586,1197642
2018-01-25,1953.900024,1980.000000,1950.500000,1974.949951,1962.415771,2180917
2018-01-29,1978.000000,2006.949951,1978.000000,1999.650024,1986.959106,2058973
2018-01-30,1997.800049,2001.900024,1984.150024,1995.500000,1982.835449,1599390
2018-01-31,1989.400024,2013.500000,1987.000000,2005.699951,1992.970581,1735837
2018-02-01,2006.000000,2015.000000,1985.300049,1991.150024,1978.513062,1630355
2018-02-02,1986.000000,1989.900024,1941.500000,1948.000000,1935.636841,1836531
2018-02-05,1918.000000,1935.250000,1905.849976,1913.849976,1901.703613,1981696
2018-02-06,1860.000000,1912.000000,1836.300049,1896.800049,1884.761841,2687451
2018-02-07,1907.000000,1907.000000,1862.400024,1872.800049,1860.914185,2091243
2018-02-08,1884.000000,1898.599976,1866.500000,1880.949951,1869.012329,1292861
2018-02-09,1847.900024,1864.699951,1844.099976,1849.500000,1837.761963,1602238
2018-02-12,1860.000000,1886.000000,1855.150024,1876.650024,1864.739746,1095277
2018-02-14,1889.800049,1897.900024,1874.650024,1883.150024,1871.198486,894297
2018-02-15,1889.699951,1894.750000,1875.000000,1881.900024,1869.956421,1228806
2018-02-16,1883.900024,1894.849976,1875.650024,1878.599976,1866.677246,895880
2018-02-19,1882.599976,1887.599976,1859.050049,1878.199951,1866.279785,913638
2018-02-20,1884.750000,1885.849976,1858.800049,1863.199951,1851.375000,1021017
2018-02-21,1867.949951,1868.550049,1852.199951,1857.400024,1845.611938,688268
2018-02-22,1850.000000,1860.000000,1841.550049,1853.199951,1841.438477,3313399
2018-02-23,1856.900024,1884.849976,1850.400024,1880.550049,1868.614990,1019187
2018-02-26,1888.099976,1914.800049,1883.550049,1911.550049,1899.418213,1197221
2018-02-27,1914.750000,1921.750000,1900.000000,1902.550049,1890.475342,1196832
2018-02-28,1889.550049,1895.449951,1878.000000,1884.199951,1872.241699,1016591
2018-03-01,1879.300049,1893.300049,1868.000000,1874.349976,1862.454224,977460
2018-03-05,1874.150024,1878.000000,1858.250000,1869.949951,1858.082153,945366
2018-03-06,1870.000000,1879.900024,1839.500000,1846.250000,1834.532593,1144207
2018-03-07,1840.000000,1853.400024,1828.500000,1832.599976,1820.969238,1407041
2018-03-08,1839.800049,1858.500000,1832.000000,1852.849976,1841.090698,1379681
2018-03-09,1854.949951,1865.250000,1844.000000,1851.050049,1839.302246,1027027
2018-03-12,1860.199951,1869.449951,1853.400024,1867.250000,1855.399292,1639279
2018-03-13,1867.449951,1884.750000,1855.000000,1860.250000,1848.443726,1281050
2018-03-14,1856.000000,1867.900024,1848.000000,1864.500000,1852.666748,920098
2018-03-15,1865.199951,1887.500000,1865.199951,1880.800049,1868.863403,1467731
2018-03-16,1880.000000,1881.099976,1846.550049,1853.000000,1841.239746,1974084
2018-03-19,1853.000000,1860.000000,1843.150024,1847.250000,1835.526245,1959685
2018-03-20,1845.099976,1855.900024,1835.250000,1839.500000,1827.825439,914343
2018-03-21,1848.000000,1863.199951,1843.300049,1858.900024,1847.102417,1480285
2018-03-22,1858.900024,1880.000000,1855.099976,1867.750000,1855.896118,1668306
2018-03-23,1846.650024,1853.099976,1837.250000,1841.550049,1829.862549,1797538
2018-03-26,1839.900024,1900.000000,1833.500000,1893.449951,1881.432983,2625442
2018-03-27,1893.800049,1899.000000,1876.000000,1892.599976,1880.588379,1534209
2018-03-28,1882.949951,1899.699951,1876.050049,1886.099976,1874.129639,2209377
2018-04-02,1890.500000,1935.750000,1890.500000,1931.199951,1918.943481,1149092
2018-04-03,1923.949951,1925.699951,1911.000000,1915.900024,1903.740601,1019971
2018-04-04,1912.949951,1924.949951,1878.449951,1883.250000,1871.297852,928527
2018-04-05,1901.300049,1914.000000,1890.199951,1908.900024,1896.785034,1214713
2018-04-06,1912.199951,1926.449951,1905.800049,1923.400024,1911.192993,930002
2018-04-09,1918.800049,1942.000000,1916.400024,1939.050049,1926.743652,1000884
2018-04-10,1943.000000,1943.000000,1913.500000,1920.849976,1908.659180,1516809
2018-04-11,1915.900024,1920.000000,1905.400024,1918.849976,1906.671875,717703
2018-04-12,1916.000000,1932.900024,1905.900024,1928.800049,1916.558716,1178129
2018-04-13,1928.000000,1940.000000,1919.099976,1925.000000,1912.782837,824293
2018-04-16,1920.000000,1950.000000,1919.849976,1942.099976,1929.774292,711936
2018-04-17,1943.500000,1951.000000,1934.099976,1948.500000,1936.133667,666958
2018-04-18,1951.000000,1953.500000,1930.050049,1932.599976,1920.334595,678180
2018-04-19,1940.000000,1944.800049,1933.000000,1939.000000,1926.693970,792258
2018-04-20,1941.000000,1961.000000,1932.150024,1955.900024,1943.486694,2340345
2018-04-23,1979.000000,1979.000000,1860.300049,1935.750000,1923.464600,3826155
2018-04-24,1935.000000,1948.050049,1926.000000,1935.000000,1922.719360,1259354
2018-04-25,1927.900024,1938.000000,1912.000000,1920.750000,1908.559814,1005148
2018-04-26,1916.800049,1939.199951,1911.250000,1930.250000,1917.999512,1961870
2018-04-27,1933.000000,1935.500000,1912.500000,1923.400024,1911.192993,1444252
2018-04-30,1930.000000,1954.800049,1928.800049,1944.300049,1931.960327,1152388
2018-05-02,1950.000000,1978.000000,1946.000000,1969.500000,1957.000366,1775012
2018-05-03,1968.050049,1974.900024,1946.000000,1967.900024,1955.410522,1038193
2018-05-04,1970.000000,1990.000000,1966.300049,1988.500000,1975.879761,1720359
2018-05-07,1981.650024,1987.300049,1975.000000,1977.400024,1964.850342,1316032
2018-05-08,1979.250000,1979.900024,1954.599976,1967.050049,1954.566040,1775141
2018-05-09,1956.150024,1980.500000,1956.150024,1978.400024,1965.843994,1081833
2018-05-10,1988.599976,1999.000000,1982.000000,1992.699951,1980.053101,1792918
2018-05-11,1992.699951,2017.000000,1986.000000,2011.750000,1998.982300,1514267
2018-05-14,2017.199951,2027.400024,2012.400024,2021.750000,2008.918823,1185729
2018-05-15,2027.050049,2065.000000,2026.699951,2037.800049,2024.866943,2456671
2018-05-16,2030.550049,2049.000000,2017.150024,2023.349976,2010.508667,1710401
2018-05-17,2023.849976,2044.449951,2012.500000,2027.750000,2014.880737,1653869
2018-05-18,2024.699951,2024.699951,2003.500000,2012.150024,1999.379761,1304365
2018-05-21,2016.099976,2021.000000,1986.050049,1993.050049,1980.401001,1212027
2018-05-22,1998.699951,2013.949951,1985.500000,1989.900024,1977.270996,990093
2018-05-23,1987.800049,1994.000000,1963.400024,1967.500000,1955.013062,1431573
2018-05-24,1967.099976,1990.250000,1956.349976,1986.000000,1973.395630,1130186
2018-05-25,1990.000000,2016.000000,1989.900024,2008.699951,1995.951538,1189897
2018-05-28,2007.800049,2052.000000,2006.000000,2042.199951,2029.239014,1275985
2018-05-29,2038.000000,2052.699951,2028.800049,2032.599976,2019.699951,837811
2018-05-30,2019.699951,2053.000000,2016.300049,2048.350098,2035.350098,1216749
2018-05-31,2100.000000,2160.000000,2080.000000,2139.449951,2139.449951,9909798
2018-06-01,2116.000000,2138.000000,2101.000000,2110.600098,2110.600098,5287839
2018-06-04,2150.000000,2157.000000,2037.949951,2046.199951,2046.199951,22199081
2018-06-05,2050.000000,2066.949951,2023.000000,2063.600098,2063.600098,4276365
2018-06-06,2060.199951,2064.800049,2045.000000,2057.350098,2057.350098,2445500
2018-06-07,2073.199951,2079.800049,2053.199951,2062.199951,2062.199951,2640974
2018-06-08,2059.000000,2061.250000,2035.000000,2049.350098,2049.350098,1545222
